epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9437,1.33836,1.33618,1.0288,0.67811,0.57532,0.60039,0.38612,1.18292,0.96432,1.02047,0.000555093,0.000555093,0.000555093
2,149.554,1.29201,0.94778,1.0147,0.68636,0.56039,0.59879,0.38388,1.11169,0.94679,0.96673,0.00108877,0.00108877,0.00108877
3,216.857,1.24878,0.87828,1.00056,0.65506,0.57071,0.60425,0.39418,1.09282,0.90547,0.95786,0.00160044,0.00160044,0.00160044
4,285.868,1.21951,0.85562,0.99521,0.70837,0.57794,0.63168,0.42375,1.05385,0.83123,0.95662,0.00156798,0.00156798,0.00156798
5,354.935,1.20238,0.82067,0.99213,0.71709,0.58613,0.6486,0.43887,1.0406,0.82263,0.95491,0.00153497,0.00153497,0.00153497
6,418.819,1.17091,0.79194,0.98402,0.71284,0.58994,0.64975,0.44496,1.02324,0.78242,0.94575,0.00150197,0.00150197,0.00150197
7,486.17,1.16268,0.776,0.97756,0.72258,0.61388,0.67642,0.46062,1.01252,0.78002,0.95392,0.00146896,0.00146896,0.00146896
8,554.351,1.13349,0.74975,0.97199,0.71049,0.61216,0.66551,0.45446,0.98204,0.76276,0.93175,0.00143595,0.00143595,0.00143595
9,625.495,1.11836,0.74279,0.96781,0.7265,0.61592,0.66686,0.45805,0.972,0.77879,0.92612,0.00140295,0.00140295,0.00140295
10,695.77,1.10818,0.71785,0.96016,0.76631,0.61836,0.70217,0.48835,0.97515,0.69376,0.93105,0.00136994,0.00136994,0.00136994
11,764.837,1.09248,0.70946,0.95731,0.76359,0.63344,0.70267,0.50046,0.93834,0.69093,0.92665,0.00133693,0.00133693,0.00133693
12,832.301,1.10651,0.70757,0.95917,0.74696,0.6244,0.70085,0.49505,0.96791,0.6849,0.92497,0.00130393,0.00130393,0.00130393
13,899.174,1.09407,0.70285,0.95683,0.74825,0.61447,0.6955,0.49271,0.93499,0.71783,0.91171,0.00127092,0.00127092,0.00127092
14,967.21,1.08391,0.69863,0.95378,0.75468,0.63,0.69983,0.49741,0.91107,0.6771,0.90837,0.00123791,0.00123791,0.00123791
15,1034.44,1.07315,0.69667,0.95689,0.7621,0.61797,0.68993,0.49402,0.93044,0.69258,0.93581,0.00120491,0.00120491,0.00120491
16,1099.6,1.07397,0.68337,0.95128,0.75374,0.63922,0.70638,0.50727,0.91019,0.6526,0.90194,0.0011719,0.0011719,0.0011719
17,1164.21,1.05211,0.67238,0.947,0.77512,0.63942,0.71036,0.50914,0.9124,0.68278,0.91349,0.00113889,0.00113889,0.00113889
18,1231.23,1.07049,0.67337,0.94994,0.74795,0.63666,0.70511,0.51341,0.89248,0.65966,0.90583,0.00110589,0.00110589,0.00110589
19,1297.86,1.06342,0.66716,0.94845,0.77527,0.63387,0.71165,0.5177,0.87735,0.64108,0.89147,0.00107288,0.00107288,0.00107288
20,1362.9,1.05393,0.66244,0.9486,0.77832,0.65019,0.71461,0.5194,0.88269,0.64419,0.90092,0.00103987,0.00103987,0.00103987
21,1428.68,1.04469,0.6496,0.9438,0.76936,0.64443,0.71976,0.52136,0.88751,0.65004,0.90338,0.00100687,0.00100687,0.00100687
22,1496.46,1.02656,0.64101,0.94512,0.77349,0.64459,0.7169,0.52207,0.88291,0.63443,0.89655,0.000973861,0.000973861,0.000973861
23,1562.66,1.02048,0.62724,0.9378,0.77726,0.64401,0.71105,0.52194,0.87123,0.62848,0.9069,0.000940855,0.000940855,0.000940855
24,1627.11,1.02532,0.63449,0.93893,0.81056,0.64103,0.72221,0.52725,0.87333,0.62293,0.89543,0.000907848,0.000907848,0.000907848
25,1705.49,1.01835,0.62591,0.93545,0.79442,0.64853,0.73059,0.5387,0.84145,0.60879,0.8889,0.000874842,0.000874842,0.000874842
26,1776.8,1.00501,0.62184,0.93517,0.75014,0.65513,0.71639,0.52508,0.87154,0.62854,0.9021,0.000841835,0.000841835,0.000841835
27,1848.42,1.01111,0.62518,0.9353,0.77107,0.65384,0.72444,0.5311,0.86629,0.62366,0.90285,0.000808828,0.000808828,0.000808828
28,1914.6,1.01386,0.62565,0.93608,0.77872,0.6587,0.72784,0.53716,0.84094,0.6097,0.89044,0.000775822,0.000775822,0.000775822
29,2001.21,0.99801,0.60867,0.93119,0.81539,0.64232,0.7265,0.53794,0.8388,0.6031,0.89061,0.000742815,0.000742815,0.000742815
30,2066.06,0.99482,0.60706,0.92973,0.78312,0.66105,0.7275,0.52783,0.87134,0.60958,0.90203,0.000709809,0.000709809,0.000709809
31,2142.61,0.98791,0.60678,0.93058,0.7896,0.66771,0.73593,0.54539,0.83262,0.59652,0.88288,0.000676802,0.000676802,0.000676802
32,2214.71,0.99026,0.60251,0.93248,0.79145,0.66262,0.72893,0.53604,0.85115,0.61031,0.89429,0.000643795,0.000643795,0.000643795
33,2283.65,0.99218,0.6016,0.92788,0.82111,0.67083,0.74494,0.55276,0.83166,0.58214,0.88146,0.000610789,0.000610789,0.000610789
34,2357.97,0.98427,0.59796,0.92839,0.78588,0.67043,0.73513,0.54866,0.82854,0.58573,0.88782,0.000577782,0.000577782,0.000577782
35,2423.01,0.98451,0.59806,0.92699,0.78312,0.67703,0.73477,0.54778,0.82606,0.58866,0.88669,0.000544776,0.000544776,0.000544776
36,2490.13,0.97827,0.58999,0.92459,0.79664,0.66392,0.73997,0.55084,0.82259,0.58329,0.88608,0.000511769,0.000511769,0.000511769
37,2554.39,0.9765,0.59046,0.92551,0.79487,0.66426,0.73462,0.54518,0.82905,0.59708,0.89452,0.000478762,0.000478762,0.000478762
38,2614.42,0.96046,0.5735,0.92262,0.80944,0.64297,0.72504,0.54358,0.82174,0.59838,0.88528,0.000445756,0.000445756,0.000445756
39,2678.3,0.96523,0.5749,0.92095,0.79152,0.67109,0.73646,0.55256,0.8188,0.5756,0.89194,0.000412749,0.000412749,0.000412749
40,2744.93,0.97731,0.58192,0.92636,0.78392,0.66123,0.72942,0.54645,0.81559,0.58384,0.88227,0.000379743,0.000379743,0.000379743
41,2824.73,0.93774,0.55473,0.90254,0.80175,0.66087,0.73937,0.55131,0.82153,0.57772,0.88184,0.000346736,0.000346736,0.000346736
42,2888.2,0.93497,0.54386,0.90253,0.77616,0.68185,0.74216,0.55256,0.82216,0.5791,0.88122,0.000313729,0.000313729,0.000313729
43,2955.5,0.93457,0.53427,0.90231,0.79751,0.67418,0.7422,0.5582,0.8018,0.57193,0.87395,0.000280723,0.000280723,0.000280723
44,3018.25,0.91793,0.52808,0.89798,0.78899,0.68066,0.74381,0.5603,0.80385,0.56738,0.87589,0.000247716,0.000247716,0.000247716
45,3079.99,0.92046,0.52516,0.89704,0.80838,0.6664,0.74159,0.55594,0.81421,0.57076,0.87881,0.00021471,0.00021471,0.00021471
46,3144.93,0.91007,0.51909,0.89519,0.78653,0.67687,0.74516,0.56239,0.79973,0.56352,0.8748,0.000181703,0.000181703,0.000181703
47,3211.67,0.90713,0.51264,0.89614,0.79861,0.67411,0.744,0.56115,0.79627,0.56426,0.87175,0.000148696,0.000148696,0.000148696
48,3276.17,0.8975,0.50896,0.89484,0.78999,0.67695,0.74429,0.56178,0.80251,0.56492,0.87324,0.00011569,0.00011569,0.00011569
49,3338.43,0.9,0.51008,0.89169,0.79422,0.68209,0.7469,0.5636,0.79215,0.55861,0.86785,8.26832e-05,8.26832e-05,8.26832e-05
50,3405.93,0.89703,0.5067,0.89195,0.79481,0.68342,0.74622,0.56137,0.79746,0.55439,0.87238,4.96766e-05,4.96766e-05,4.96766e-05
